Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Alloprevotella tannerae ( 76122 ),Alloprevotella ( 1283313 ),17805,183,252,99.0,99.0,1.82,2.55,2.63,0.09,1.43,6.6
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),16774,3318,1426,16.81,5.16,193.2,264.27,5.63,0.24,12.49,42.71
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),6941,72,252,100.0,99.0,0.7,2.55,2.64,0.09,1.02,6.6
Bacteria,Prevotella sp. SEQ065 ( 1123819 ),Prevotella ( 838 ),1334,258,1426,99.0,5.16,2.61,264.27,0.0,0.24,0.0,42.71
Bacteria,Prevotella sp. SEQ116 ( 1123821 ),Prevotella ( 838 ),770,149,1426,85.15,5.16,1.75,264.27,0.0,0.24,0.0,42.71
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),701,137,1426,8.0,5.16,16.99,264.27,1.41,0.24,0.92,42.71
Bacteria,Prevotella oris ( 28135 ),Prevotella ( 838 ),546,108,1426,92.25,5.16,1.15,264.27,1.28,0.24,2.04,42.71
Bacteria,uncultured Moryella sp. ( 1118124 ),Moryella ( 437755 ),458,9,4,100.0,47.99,0.1,0.1,0.0,0.0,0.0,0.0
Bacteria,uncultured Paraprevotella sp. ( 910951 ),Paraprevotella ( 577309 ),438,10,10,41.45,41.45,0.25,0.25,0.0,0.71,0.0,1.53
Bacteria,uncultured Mogibacterium sp. ( 278065 ),Mogibacterium ( 86331 ),318,3,3,100.0,100.0,0.03,0.03,0.0,-0.0,0.0,0.06
Viridiplantae (green plants),Chionographis japonica ( 119999 ),Chionographis ( 119997 ),318,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Prevotella sp. oral taxon 308 ( 712462 ),Alloprevotella ( 1283313 ),315,3,252,100.0,99.0,0.03,2.55,0.0,0.09,0.0,6.6
Bacteria,uncultured Prevotella sp. ( 159272 ),Prevotella ( 838 ),287,55,1426,7.71,5.16,7.23,264.27,0.0,0.24,0.0,42.71
Bacteria,Microtetraspora fusca ( 1997 ),Microtetraspora ( 1995 ),202,12,8,24.96,15.91,0.51,0.51,0.0,0.0,0.0,0.0
Bacteria,Prevotella salivae ( 228604 ),Prevotella ( 838 ),179,35,1426,99.0,5.16,0.35,264.27,0.72,0.24,0.8,42.71
Bacteria,Prevotella sp. ICM1 ( 936570 ),Prevotella ( 838 ),164,31,1426,100.0,5.16,0.32,264.27,0.0,0.24,0.0,42.71
Viridiplantae (green plants),Pseudoscourfieldia marina ( 41886 ),Pseudoscourfieldia ( 41885 ),148,2,2,68.22,68.22,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),121,23,1426,1.37,5.16,17.11,264.27,-0.15,0.24,0.22,42.71
Bacteria,Actinomyces odontolyticus ( 1660 ),Actinomyces ( 1654 ),120,41,33,5.45,2.93,7.55,11.63,-0.01,-0.05,1.75,7.39
Bacteria,Prevotella sp. oral clone BU035 ( 163561 ),Prevotella ( 838 ),115,22,1426,100.0,5.16,0.22,264.27,0.0,0.24,0.0,42.71
Bacteria,Prevotella nigrescens ( 28133 ),Prevotella ( 838 ),86,18,1426,16.31,5.16,1.02,264.27,0.49,0.24,4.46,42.71
