Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),18836,3008,1641,1.99,1.26,194.15,198.79,29.85,7.0,87.85,91.51
Bacteria,Eikenella corrodens ( 539 ),Eikenella ( 538 ),1310,62,2,6.66,5.44,0.1,0.1,21.05,21.05,2.95,2.95
Bacteria,Aggregatibacter segnis ( 739 ),Aggregatibacter ( 416916 ),699,181,158,2.1,4.52,0.09,18.93,25.63,3.86,7.06,10.85
Bacteria,Aggregatibacter actinomycetemcomitans ( 714 ),Aggregatibacter ( 416916 ),568,125,158,22.09,4.52,5.67,18.93,1.65,3.86,0.27,10.85
Viruses,Human herpesvirus 7 ( 10372 ),Roseolovirus ( 40272 ),299,2,2,100.0,100.0,0.01,0.01,100.0,100.0,0.01,0.01
Caudovirales (dsDNA phages),Haemophilus phage HP2 ( 157239 ),Hpunalikevirus ( 1196844 ),259,5,3,100.0,43.35,0.06,0.09,0.0,0.0,0.0,0.0
Bacteria,Aggregatibacter aphrophilus ( 732 ),Aggregatibacter ( 416916 ),201,44,158,3.18,4.52,13.17,18.93,1.02,3.86,2.98,10.85
Viridiplantae (green plants),Parallela novae-zelandiae ( 871273 ),Parallela ( 871272 ),149,1,1,100.0,100.0,0.01,0.01,0.0,0.0,0.0,0.0
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),65,56,97,1.7,1.27,17.54,42.06,4.26,1.04,6.27,15.97
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),40,32,97,1.19,1.27,24.02,42.06,0.69,1.04,5.36,15.97
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),37,40,40,17.72,0.69,0.12,24.97,27.92,0.94,1.36,16.64
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),26,38,40,8.16,0.69,4.66,24.97,0.4,0.94,0.46,16.64
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),24,33,40,2.7,0.69,11.45,24.97,0.87,0.94,3.31,16.64
Bacteria,[Mannheimia] succiniciproducens ( 157673 ),Basfia ( 697331 ),20,1,3,0.37,0.37,0.18,0.18,21.36,21.36,0.04,0.04
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),18,315,23,3.78,-0.03,35.44,249.63,14.45,0.12,12.53,86.81
Bacteria,Neisseria flavescens ( 484 ),Neisseria ( 482 ),18,19,40,4.29,0.69,0.13,24.97,2.79,0.94,6.86,16.64
Caudovirales (dsDNA phages),Haemophilus phage HP1 ( 10690 ),Hpunalikevirus ( 1196844 ),18,0,3,13.93,43.35,0.03,0.09,0.0,0.0,0.0,0.0
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),17,11,3,8.72,1.45,1.26,1.26,2.42,1.64,0.31,1.15
Bacteria,Rothia sp. T40-1 ( 426589 ),Rothia ( 32207 ),13,10,1641,100.0,1.26,0.1,198.79,0.0,7.0,0.0,91.51
Bacteria,uncultured Moryella sp. ( 1118124 ),Moryella ( 437755 ),10,1,0,100.0,6.95,0.01,0.01,0.0,0.0,0.0,0.0
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),8,12,40,3.46,0.69,3.71,24.97,0.35,0.94,0.34,16.64
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),8,65,5,1.6,0.25,21.04,23.36,3.73,-0.01,8.46,15.64
Bacteria,Neisseria mucosa ( 488 ),Neisseria ( 482 ),7,8,40,0.04,0.69,0.01,24.97,3.94,0.94,2.1,16.64
Bacteria,Haemophilus haemolyticus ( 726 ),Haemophilus ( 724 ),6,6,97,0.25,1.27,0.09,42.06,1.89,1.04,3.32,15.97
Bacteria,Haemophilus sp. 1595 ( 502960 ),Haemophilus ( 724 ),4,4,97,22.88,1.27,0.06,42.06,100.0,1.04,0.03,15.97
Bacteria,Campylobacter curvus ( 200 ),Campylobacter ( 194 ),4,10,1,0.94,-0.08,1.0,2.74,22.84,0.52,0.4,1.54
Bacteria,Piscirickettsia salmonis ( 1238 ),Piscirickettsia ( 1237 ),4,0,0,16.92,16.92,0.01,0.01,0.0,0.0,0.0,0.0
Bacteria,Rothia dentocariosa ( 2047 ),Rothia ( 32207 ),2,0,1641,-0.04,1.26,4.52,198.79,0.15,7.0,3.05,91.51
Bacteria,Haemophilus sp. CCUG 30218 ( 554007 ),Haemophilus ( 724 ),2,2,97,17.55,1.27,0.04,42.06,100.0,1.04,0.01,15.97
Bacteria,Neisseria sp. A102:3 ( 192071 ),Neisseria ( 482 ),2,2,40,100.0,0.69,0.03,24.97,0.0,0.94,0.0,16.64
Bacteria,Haemophilus sp. CCUG 13929 ( 553996 ),Haemophilus ( 724 ),1,1,97,100.0,1.27,0.01,42.06,0.0,1.04,0.0,15.97
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),1,15,23,0.06,-0.03,61.65,249.63,0.5,0.12,23.66,86.81
Bacteria,Gemella morbillorum ( 29391 ),Gemella ( 1378 ),1,2,0,0.2,-0.14,0.03,0.07,1.73,0.53,1.44,6.36
Bacteria,Gemella haemolysans ( 1379 ),Gemella ( 1378 ),1,2,0,-0.09,-0.14,0.03,0.07,0.54,0.53,4.4,6.36
Bacteria,Prevotella pallens ( 60133 ),Prevotella ( 838 ),1,14,5,100.0,0.25,0.04,23.36,5.91,-0.01,1.63,15.64
Bacteria,Mesotoga prima ( 1184387 ),Mesotoga ( 1184396 ),0,0,0,7.58,7.58,0.01,0.01,0.0,0.0,0.0,0.0
Bacteria,Histophilus somni ( 731 ),Histophilus ( 214906 ),0,0,0,-0.04,-0.04,0.3,0.3,2.18,2.18,0.16,0.16
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),0,3,23,-0.07,-0.03,57.25,249.63,0.29,0.12,25.42,86.81
Bacteria,Haemophilus aegyptius ( 197575 ),Haemophilus ( 724 ),0,0,97,25.04,1.27,0.01,42.06,0.0,1.04,0.0,15.97
Bacteria,Fretibacterium fastidiosum ( 651822 ),Fretibacterium ( 1434006 ),0,0,0,0.66,0.66,0.19,0.19,1.63,1.63,0.13,0.13
Bacteria,Cryptobacterium curtum ( 84163 ),Cryptobacterium ( 84162 ),0,0,0,1.92,1.92,0.07,0.07,1.96,1.39,0.06,0.06
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,40,0.14,0.69,4.45,24.97,-0.12,0.94,0.03,16.64
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),0,32,23,0.59,-0.03,41.0,249.63,4.96,0.12,1.77,86.81
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),0,1,23,-0.1,-0.03,16.18,249.63,1.26,0.12,2.39,86.81
Bacteria,Pasteurella multocida ( 747 ),Pasteurella ( 745 ),0,0,0,-0.08,-0.09,0.36,0.36,2.58,1.48,0.06,0.13
Bacteria,Petrotoga mobilis ( 69499 ),Petrotoga ( 28236 ),0,0,0,2.26,2.26,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Prevotella salivae ( 228604 ),Prevotella ( 838 ),0,0,5,36.43,0.25,0.01,23.36,0.43,-0.01,0.52,15.64
Bacteria,Campylobacter concisus ( 199 ),Campylobacter ( 194 ),0,0,1,0.02,-0.08,1.69,2.74,0.54,0.52,0.48,1.54
Bacteria,Actinomyces odontolyticus ( 1660 ),Actinomyces ( 1654 ),0,1,0,-0.28,-0.27,0.01,0.07,0.37,0.09,3.5,10.64
Bacteria,Neisseria perflava ( 33053 ),Neisseria ( 482 ),0,0,40,1.63,0.69,0.09,24.97,0.0,0.94,0.0,16.64
Bacteria,Neisseria cinerea ( 483 ),Neisseria ( 482 ),0,0,40,-0.07,0.69,0.1,24.97,0.38,0.94,0.28,16.64
Bacteria,Neisseria flava ( 34026 ),Neisseria ( 482 ),0,0,40,1.64,0.69,0.06,24.97,0.0,0.94,0.0,16.64
