Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),220,34,38,6.48,6.48,5.26,5.26,0.85,0.85,0.08,0.08
Mammalia,Cacajao calvus ( 30596 ),Cacajao ( 30595 ),211,2,2,100.0,100.0,0.02,0.02,0.0,0.0,0.0,0.0
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),56,9,8,6.32,6.23,1.44,1.44,0.0,0.0,0.0,0.0
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),52,12,12,4.06,4.06,3.18,3.18,0.0,0.0,0.0,0.0
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),26,2,2,9.41,9.41,0.3,0.3,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),17,4,5,3.43,3.67,1.4,1.57,0.0,0.0,0.0,0.0
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),6,5,3,8.88,1.21,0.59,3.22,0.0,0.0,0.0,0.0
Caudovirales (dsDNA phages),Streptococcus phage Sfi21 ( 64186 ),Sfi21dtunalikevirus ( 1623304 ),5,4,0,100.0,1.21,0.04,0.04,0.0,0.0,0.0,0.0
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),5,4,3,11.67,1.21,0.36,3.22,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),3,1,5,6.18,3.67,0.17,1.57,0.0,0.0,0.0,0.0
Bacteria,Parascardovia denticolens ( 78258 ),Parascardovia ( 196082 ),2,0,1,2.77,2.77,0.25,0.25,1.67,1.67,0.13,0.13
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),2,1,3,0.79,1.21,2.27,3.22,0.0,0.0,0.0,0.0
Bacteria,Selenomonas sputigena ( 69823 ),Selenomonas ( 970 ),2,1,1,0.24,-0.02,0.68,0.72,5.87,1.83,0.19,1.23
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),1,0,0,2.67,2.67,0.23,0.23,0.0,0.0,0.0,0.0
Mammalia,Pan troglodytes ( 9598 ),Pan ( 9596 ),0,2,0,100.0,0.45,0.02,0.23,0.0,0.0,0.0,0.0
Bacteria,Cryptobacterium curtum ( 84163 ),Cryptobacterium ( 84162 ),0,0,0,2.22,2.22,0.08,0.08,1.31,0.9,0.04,0.04
Bacteria,Campylobacter curvus ( 200 ),Campylobacter ( 194 ),0,2,0,0.13,-0.17,0.3,0.61,10.65,0.11,0.19,0.74
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),0,0,0,2.09,0.23,0.34,0.34,0.68,0.78,0.11,0.68
Mammalia,Callithrix jacchus ( 9483 ),Callithrix ( 9481 ),0,0,0,0.98,0.98,0.06,0.06,0.0,0.0,0.0,0.0
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.38,0.45,0.21,0.23,0.0,0.0,0.0,0.0
Mammalia,Rhinopithecus roxellana ( 61622 ),Rhinopithecus ( 542827 ),0,0,0,0.78,0.78,0.02,0.02,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Calycanthus floridus ( 3429 ),Calycanthus ( 3428 ),0,0,0,0.71,0.71,0.02,0.02,0.0,0.0,0.0,0.0
Deuterostomes,Chrysemys picta ( 8479 ),Chrysemys ( 8477 ),0,0,0,0.39,0.39,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Olsenella uli ( 133926 ),Olsenella ( 133925 ),0,0,0,-0.13,-0.15,0.06,0.06,0.19,1.42,0.02,0.19
Deuterostomes,Alligator mississippiensis ( 8496 ),Alligator ( 8495 ),0,0,0,0.44,0.08,0.06,0.06,0.0,0.0,0.0,0.0
Mammalia,Mandrillus leucophaeus ( 9568 ),Mandrillus ( 9567 ),0,0,0,0.16,0.16,0.02,0.02,0.0,0.0,0.0,0.0
Mammalia,Leptonychotes weddellii ( 9713 ),Leptonychotes ( 9712 ),0,0,0,0.1,0.1,0.02,0.02,0.0,0.0,0.0,0.0
Archaea,Methanoculleus marisnigri ( 2198 ),Methanoculleus ( 45989 ),0,0,0,0.12,0.02,0.02,0.02,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Liriodendron tulipifera ( 3415 ),Liriodendron ( 3413 ),0,0,0,0.04,0.04,0.02,0.02,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.0,0.28,0.0,0.0,0.0,0.0,0.0
Bacteria,butyrate-producing bacterium SM4/1 ( 245012 ),No genus ( -1 ),0,0,0,-0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Caudovirales (dsDNA phages),Streptococcus phage SM1 ( 157924 ),No genus ( -1 ),0,0,0,2.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Bacteria,Porphyromonadaceae bacterium ING2-E5B ( 1562970 ),No genus ( -1 ),0,0,0,-0.17,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Unclassified Sequence (synthetic),uncultured organism ( 155900 ),No genus ( -1 ),0,0,0,-0.28,0.0,0.17,0.0,0.0,0.0,0.0,0.0
Bacteria,Opitutaceae bacterium TAV5 ( 794903 ),No genus ( -1 ),0,0,0,-0.27,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Bacteria,Candidatus Saccharibacteria oral taxon TM7x ( 1476577 ),No genus ( -1 ),0,0,0,-0.22,0.0,0.06,0.0,-0.14,0.0,0.08,0.0
Unclassified Phage,Propionibacterium phage Pacnes 2012-15 ( 1498188 ),No genus ( -1 ),0,0,0,0.28,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Bacteria,uncultured Flavobacteriia bacterium ( 212695 ),No genus ( -1 ),0,0,0,-0.21,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Caudovirales (dsDNA phages),Lactobacillus phage KC5a ( 363555 ),No genus ( -1 ),0,2,0,100.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Archaea,uncultured archaeon ( 115547 ),No genus ( -1 ),0,0,0,-0.42,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Artificial Sequences,synthetic construct ( 32630 ),No genus ( -1 ),0,0,0,-0.21,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Caudovirales (dsDNA phages),Pseudomonas phage phiCTX ( 35343 ),P2likevirus ( 140410 ),0,0,0,0.0,-0.27,0.02,0.02,0.0,0.0,0.0,0.0
Eukaryotes,Strongylus vulgaris ( 40348 ),Strongylus ( 40345 ),0,0,0,-0.04,-0.04,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Selenomonas ruminantium ( 971 ),Selenomonas ( 970 ),0,0,1,-0.22,-0.02,0.04,0.72,0.0,1.83,0.0,1.23
Bacteria,Chlorobium phaeovibrioides ( 1094 ),Chlorobium ( 1091 ),0,0,0,0.05,-0.16,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Herpetosiphon aurantiacus ( 65 ),Herpetosiphon ( 64 ),0,0,0,-0.06,-0.08,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Ruminococcus bicirculans ( 1160721 ),Ruminococcus ( 1263 ),0,0,0,-0.01,-0.13,0.13,0.21,0.0,-0.23,0.0,0.13
Bacteria,Ochrobactrum anthropi ( 529 ),Ochrobactrum ( 528 ),0,0,0,-0.1,-0.1,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Treponema primitia ( 88058 ),Treponema ( 157 ),0,0,0,-0.05,-0.2,0.02,0.21,0.0,-0.29,0.0,0.19
Bacteria,Dehalococcoides mccartyi ( 61435 ),Dehalococcoides ( 61434 ),0,0,0,-0.11,-0.11,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Campylobacter canadensis ( 449520 ),Campylobacter ( 194 ),0,0,0,-0.09,-0.17,0.02,0.61,0.0,0.11,0.0,0.74
Bacteria,Prevotella ruminicola ( 839 ),Prevotella ( 838 ),0,0,0,-0.2,-0.04,0.04,9.13,0.0,-0.06,0.0,10.43
Bacteria,Sphingomonas taxi ( 1549858 ),Sphingomonas ( 13687 ),0,0,0,-0.12,-0.14,0.02,0.02,0.0,-0.32,0.0,0.06
Fungi,Debaryomyces hansenii ( 4959 ),Debaryomyces ( 4958 ),0,0,0,-0.13,-0.13,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Bifidobacterium breve ( 1685 ),Bifidobacterium ( 1678 ),0,0,0,-0.11,-0.17,0.02,1.12,0.0,-0.33,0.0,0.72
Panarthropoda,Dendroctonus ponderosae ( 77166 ),Dendroctonus ( 77156 ),0,0,0,-0.14,-0.14,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Odoribacter splanchnicus ( 28118 ),Odoribacter ( 283168 ),0,0,0,-0.14,-0.14,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Ruminococcus champanellensis ( 1161942 ),Ruminococcus ( 1263 ),0,0,0,-0.17,-0.13,0.02,0.21,0.0,-0.23,0.0,0.13
Bacteria,Streptococcus dentisani ( 1458253 ),Streptococcus ( 1301 ),0,0,-2,-0.13,-0.18,0.02,6.17,0.0,-0.22,0.0,3.33
Bacteria,Mesorhizobium loti ( 381 ),Mesorhizobium ( 68287 ),0,0,0,-0.12,-0.19,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Comamonas testosteroni ( 285 ),Comamonas ( 283 ),0,0,0,-0.15,-0.16,0.02,0.02,0.0,-0.26,0.0,0.02
Bacteria,Slackia heliotrinireducens ( 84110 ),Slackia ( 84108 ),0,0,0,-0.15,-0.15,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Lachnoclostridium phytofermentans ( 66219 ),Lachnoclostridium ( 1506553 ),0,0,0,-0.12,-0.19,0.02,0.04,0.0,-0.22,0.0,0.02
Bacteria,[Clostridium] bifermentans ( 1490 ),Peptoclostridium ( 1481960 ),0,0,0,-0.11,-0.23,0.02,0.06,0.0,-0.41,0.0,0.02
Bacteria,Fimbriimonas ginsengisoli ( 1005039 ),Fimbriimonas ( 1005038 ),0,0,0,-0.16,-0.16,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Mycobacterium rhodesiae ( 36814 ),Mycobacterium ( 1763 ),0,0,0,-0.13,-0.21,0.02,0.47,0.0,-0.37,0.0,0.51
Bacteria,Shigella flexneri ( 623 ),Shigella ( 620 ),0,0,0,-0.19,-0.14,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Alistipes finegoldii ( 214856 ),Alistipes ( 239759 ),0,0,0,-0.17,-0.16,0.02,0.06,0.0,-0.16,0.0,0.04
Bacteria,Pseudomonas cichorii ( 36746 ),Pseudomonas ( 286 ),0,0,-4,-0.1,-0.29,0.02,3.9042918722727302,0.0,-0.38,0.0,3.5
Bacteria,Ornithobacterium rhinotracheale ( 28251 ),Ornithobacterium ( 28250 ),0,0,0,-0.17,-0.17,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Bacteroides fragilis ( 817 ),Bacteroides ( 816 ),0,0,0,-0.17,-0.17,0.02,0.23,0.0,-0.27,0.0,0.34
Bacteria,Enterobacter sp. 638 ( 399742 ),Enterobacter ( 547 ),0,0,0,-0.16,-0.19,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,uncultured Bacteroides sp. ( 162156 ),Bacteroides ( 816 ),0,0,0,-0.18,-0.17,0.02,0.23,0.0,-0.27,0.0,0.34
Bacteria,Parabacteroides distasonis ( 823 ),Parabacteroides ( 375288 ),0,0,0,-0.23,-0.14,0.02,0.02,0.0,-0.15,0.0,0.06
Bacteria,Acidaminococcus fermentans ( 905 ),Acidaminococcus ( 904 ),0,0,0,-0.16,-0.21,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Dyadobacter fermentans ( 94254 ),Dyadobacter ( 120831 ),0,0,0,-0.18,-0.18,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,[Clostridium] sordellii ( 1505 ),Peptoclostridium ( 1481960 ),0,0,0,-0.15,-0.23,0.02,0.06,0.0,-0.41,0.0,0.02
Bacteria,Mycobacterium smegmatis ( 1772 ),Mycobacterium ( 1763 ),0,0,0,-0.16,-0.21,0.02,0.47,0.0,-0.37,0.0,0.51
Bacteria,Corynebacterium resistens ( 258224 ),Corynebacterium ( 1716 ),0,0,0,-0.14,-0.24,0.02,0.19571667681818194,0.0,-0.16,0.0,0.89
Bacteria,Micrococcus sp. 28 ( 161213 ),Micrococcus ( 1269 ),0,0,0,-0.09,-0.19,0.04,0.51,0.0,-0.42,0.0,0.19
Bacteria,Bifidobacterium pseudocatenulatum ( 28026 ),Bifidobacterium ( 1678 ),0,0,0,-0.2,-0.17,0.02,1.12,0.0,-0.33,0.0,0.72
Mammalia,Canis lupus ( 9612 ),Canis ( 9611 ),0,0,0,-0.19,-0.19,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Prevotella dentalis ( 52227 ),Prevotella ( 838 ),0,0,0,-0.16,-0.04,0.08,9.13,-0.1,-0.06,0.04,10.43
Bacteria,Lactobacillus salivarius ( 1624 ),Lactobacillus ( 1578 ),0,0,0,-0.13,-0.31,0.02,1.04,0.0,-0.31,0.0,0.76
Bacteria,Aequorivita sublithincola ( 101385 ),Aequorivita ( 153265 ),0,0,0,-0.2,-0.2,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Mycobacterium liflandii ( 261524 ),Mycobacterium ( 1763 ),0,0,0,-0.2,-0.21,0.02,0.47,0.0,-0.37,0.0,0.51
Bacteria,Alistipes shahii ( 328814 ),Alistipes ( 239759 ),0,0,0,-0.14,-0.16,0.04,0.06,0.0,-0.16,0.0,0.04
Bacteria,Bifidobacterium kashiwanohense ( 630129 ),Bifidobacterium ( 1678 ),0,0,0,-0.13,-0.17,0.04,1.12,0.0,-0.33,0.0,0.72
Bacteria,Bifidobacterium asteroides ( 1684 ),Bifidobacterium ( 1678 ),0,0,0,-0.27,-0.17,0.02,1.12,0.0,-0.33,0.0,0.72
Bacteria,Erwinia amylovora ( 552 ),Erwinia ( 551 ),0,0,0,-0.13,-0.36,0.02,0.02,0.0,0.0,0.0,0.0
Bacteria,Kocuria rhizophila ( 72000 ),Kocuria ( 57493 ),0,0,0,-0.2,-0.23,0.02,0.02,0.0,-0.27,0.0,0.02
Bacteria,Corynebacterium terpenotabidum ( 89154 ),Corynebacterium ( 1716 ),0,0,0,-0.2,-0.24,0.02,0.19571667681818194,0.0,-0.16,0.0,0.89
Bacteria,Aggregatibacter aphrophilus ( 732 ),Aggregatibacter ( 416916 ),0,0,0,-0.14,-0.17,0.02,0.02,-0.13,-0.19,0.02,0.02
Bacteria,Porphyromonas endodontalis ( 28124 ),Porphyromonas ( 836 ),0,0,0,0.07,-0.18,0.02,0.11,-0.12,-0.31,0.02,0.17
Bacteria,[Clostridium] saccharolyticum ( 84030 ),Lachnoclostridium ( 1506553 ),0,0,0,-0.26,-0.19,0.02,0.04,0.0,-0.22,0.0,0.02
Bacteria,Peptoclostridium difficile ( 1496 ),Peptoclostridium ( 1481960 ),0,0,0,-0.23,-0.23,0.02,0.06,0.0,-0.41,0.0,0.02
Bacteria,Candidatus Saccharimonas aalborgensis ( 1332188 ),Candidatus Saccharimonas ( 1331051 ),0,0,0,-0.11,-0.11,0.04,0.04,-0.08,-0.08,0.08,0.08
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),0,0,0,-0.11,-0.04,0.19,9.13,-0.26,-0.06,0.02,10.43
Bacteria,Megasphaera elsdenii ( 907 ),Megasphaera ( 906 ),0,0,0,-0.23,-0.23,0.02,0.02,0.0,3.44,0.0,0.95
Bacteria,Kribbella flavida ( 182640 ),Kribbella ( 182639 ),0,0,0,-0.23,-0.24,0.02,0.02,0.0,0.0,0.0,0.0
